name,source,gender,wikidata,type
"Anna Bijnsstraat",wikidata,F,Q272497,way
"Cecilia Callebertstraat",wikidata,F,Q2574283,way
"Koningin Astridplein",wikidata,F,Q230238,way
Mariastraat,wikidata,F,Q345,way
"Simonne Brugghestraat",wikidata,F,Q1900797,way
"Abraham Hansstraat",wikidata,M,Q2127409,way
"Achiel Denysstraat",wikidata,M,Q13428091,way
"Achiel Lauwersstraat",wikidata,M,Q2299085,way
"Adriaen Willaertstraat",wikidata,M,Q312615,way
"Albert Allemanstraat",wikidata,M,Q4777731,way
"Albert Biesbrouckstraat",wikidata,M,Q2573554,way
"Albert Sercustraat",wikidata,M,Q973801,way
"Albrecht Rodenbachstraat",wikidata,M,Q2497011,way
"Alfons Carlierstraat",wikidata,M,Q13428999,way
"Ange Angillisstraat",wikidata,M,Q2600490,way
Beheytstraat,wikidata,M,Q765290,way
Blinde-Rodenbachstraat,wikidata,M,Q2029754,way
Blommestraat,wikidata,M,Q1849666,way
"Broeder Adolfstraat",wikidata,M,Q5571917,way
"Constant Lievensstraat",wikidata,M,Q2994881,way
"Désiré Mergaertstraat",wikidata,M,Q21638183,way
"Generaal Maczekstraat",wikidata,M,Q512764,way
"Guido Gezellelaan",wikidata,M,Q336977,way
"Hendrik Consciencestraat",wikidata,M,Q378133,way
"Henri Horriestraat",wikidata,M,Q5608780,way
"Hugo Verrieststraat",wikidata,M,Q981444,way
"Jan Mahieustraat",wikidata,M,Q1851522,way
"Kardinaal Cardijnlaan",wikidata,M,Q469580,way
"Koning Leopold III-laan",wikidata,M,Q12973,way
"Pater Damiaanstraat",wikidata,M,Q232785,relation
"Pater Pirestraat",wikidata,M,Q158850,way
"Prins Boudewijnstraat",wikidata,M,Q12976,way
Sint-Jorisstraat,wikidata,M,Q48438,way
"Stijn Streuvelsstraat",wikidata,M,Q175669,way
