name,source,gender,wikidata,type
Ardooisesteenweg,wikidata,,Q21770087,way
Beekstraat,wikidata,,Q63565252,way
Bobijnstraat,wikidata,,Q888765,way
Brugsesteenweg,wikidata,,Q12994,way
Damaststraat,wikidata,,Q901382,way
Diksmuidsesteenweg,wikidata,,Q215244,way
Eksaardestraat,wikidata,,Q2488256,way
Garenstraat,wikidata,,Q49007,way
Gelukstraat,wikidata,,Q8,way
Groenestraat,wikidata,,,way
Herentalslaan,wikidata,,Q383723,way
Hommelweg,wikidata,,Q25407,way
Hoogleedsesteenweg,wikidata,,Q696907,way
Karnemelkstraat,wikidata,,Q106612,way
Lakenstraat,wikidata,,Q3715160,way
Landbouwstraat,wikidata,,Q11451,way
Leeuwerikstraat,wikidata,,Q29858,way
Lichterveldsestraat,wikidata,,Q696871,way
Mandeldreef,wikidata,,Q2185104,way
Merelstraat,wikidata,,Q25234,way
Meulebekestraat,wikidata,,Q822783,way
Mezenstraat,wikidata,,Q168473,way
"Oude Diksmuidsestraat",wikidata,,Q215244,way
"Oude Lichterveldsestraat",wikidata,,Q696871,way
Reigerstraat,wikidata,,Q18789,way
Sint-Michielsplein,wikidata,,Q45581,way
Spechtendreef,wikidata,,Q25439,way
Stadenstraat,wikidata,,Q742876,way
Torteldreef,wikidata,,Q168514,way
Uilstraat,wikidata,,Q8253953,way
Vinkenstraat,wikidata,,Q160835,way
Vlamingstraat,wikidata,,Q242485,way
Weidestraat,wikidata,,Q30121,way
Wijnendalestraat,wikidata,,Q1753171,way
Wortelstraat,wikidata,,Q81,way
"'s Gravenstraat",,,,way
"'t Hoog Stuk",,,,way
"'t Motje",,,,way
Aakstraat,,,,way
Aardappelhoekstraat,,,,way
Aardbeienstraat,,,,way
Abeelstraat,,,,way
Acaciastraat,,,,way
"Alfons Blommeplein",,,,way
Appelaarstraat,,,,way
Ardooisewegel,,,,way
Arme-Klarenstraat,,,,way
Armoedestraat,,,,way
Astenstraat,,,,way
Azalealaan,,,,way
Baasrodestraat,,,,way
Babillestraat,,,,way
Babilliestraat,,,,way
Baertsdreef,,,,way
Bakkersstraat,,,,way
Baliestraat,,,,way
Barnumerf,,,,way
Batavialaan,,,,way
Beatrijsstraat,,,,way
Beekwegel,,,,way
Begijnestraat,,,,way
Begoniastraat,,,,way
Bergeikenstraat,,,,way
Bergmolenstraat,,,,way
Bergstraat,,,,way
Berkenstraat,,,,way
Beukenstraat,,,,relation
Beursgoed,,,,way
Beurtkaai,,,,way
Beverseaardeweg,,,,way
Beversesteenweg,,,,way
Bevrijdingsstraat,,,,way
Bietstraat,,,,way
Biezenhof,,,,way
Biezenstraat,,,,way
Bilkwegel,,,,way
Blauwvoetstraat,,,,way
Blekerijstraat,,,,way
Bloemkoolstraat,,,,way
"Blotevoetenpad Oekene",,,,way
Boerenkrijglaan,,,,way
Boeversstraat,,,,way
Bollaardstraat,,,,way
Bolle-Akkerweg,,,,way
Bollenstraat,,,,way
Bollestraat,,,,way
Bonenstraat,,,,way
Boomgaardstraat,,,,way
Bornstraat,,,,way
Borstelstraat,,,,way
Boskantstraat,,,,way
Bosmolensstraat,,,,way
Bosstraat,,,,way
"Bosstraat - Nachtegaalstraat",,,,way
"Bosstraat - Waterstraat",,,,way
Bosweg,,,,way
Botermarkt,,,,way
Boterstraat,,,,way
Botteliersstraat,,,,way
Braamstraat,,,,way
Brabantstraat,,,,way
Bruanestraat,,,,way
Bunderstraat,,,,relation
Burgemeestersstraat,,,,way
Cederstraat,,,,way
"Chemin 20",,,,way
"Chemin 41",,,,way
Cichoreistraat,,,,way
Cipressenstraat,,,,way
Citroenstraat,,,,way
Claeyssensstraat,,,,way
Colliemolenstraat,,,,way
Colliensstraat,,,,way
Collievijveraardeweg,,,,way
Collievijverpark,,,,way
"Conincklijke Passage",,,,way
"Constant Lambrechtstraat",,,,way
"Constant Permekestraat",,,,way
"Constant Verbekestraat",,,,way
"Constantijn Duboisstraat",,,,way
Cyperstraat,,,,way
Dadizeleleenstraat,,,,way
Daglandstraat,,,,relation+way
Dalstraat,,,,way
Damberdstraat,,,,way
Dammestraat-Oost,,,,way
Dammestraat-West,,,,way
"David Teniersstraat",,,,way
"De Gotelaar",,,,way
"De Karre",,,,way
"De Munt",,,,relation+way
"De Witte Reek",,,,way
"De Zilten",,,,way
"Deken De Saegherplein",,,,way
"Deken Wallaertstraat",,,,way
Delaerestraat,,,,way
Deltalaan,,,,way
Dennenstraat,,,,way
"Désiré Van de Wallestraat",,,,way
"Diederik van Assenedestraat",,,,way
Diswegel,,,,way
"Dokter Delbekestraat",,,,way
"Domien Craccostraat",,,,way
"Dominiek Saviostraat",,,,way
Doorgangstraat,,,,way
Drafstraat,,,,way
Druivelaarstraat,,,,way
Duivelshoekstraat,,,,way
Duivelsstraat,,,,way
Duivigestraat,,,,way
Duizendzinnenstraat,,,,way
Dwarsweg,,,,way
Dweersstraat,,,,way
"Edmond De Leyestraat",,,,way
"Edmond Van der Scheldenstraat",,,,way
Eikstraat,,,,way
Elckerlycstraat,,,,way
Elf-Novemberstraat,,,,way
Elsbergestraat,,,,way
Elzenstraat,,,,relation
Erwtenstraat,,,,way
Esdoornstraat,,,,relation
Essenstraat,,,,relation
"Eugeen Van Oyestraat",,,,way
Fabrieksstraat,,,,way
Fazantendreef,,,,way
Fierheidstraat,,,,way
Flandriastraat,,,,way
Foncierstraat,,,,way
Fortuinstraat,,,,way
"Frans Dujardinstraat",,,,way
Gaaipersstraat,,,,way
Gabriëlstraat,,,,way
Galgestraat,,,,way
"Gallerij Sint-Michiel",,,,way
"Gallerij de Meester",,,,way
Ganzenstraat,,,,way
Gareelstraat,,,,way
Gasstraat,,,,way
Gasthuisstraat,,,,way
"Gaston Vallaeysstraat",,,,way
"Gebroeders Martinstraat",,,,way
"Gebroeders van Raemdonckstraat",,,,way
